state,district,address,lat,lng
Pulau Pinang,Timur Laut,"All Seasons Place Unit No: 6G-1-12 , Level 1 All Seasons Place, Lebuhraya Thean Teik Bandar Baru Air Itam Penang",5.3961368,100.2906221
Selangor,Petaling,"Ativo Plaza  Level 1, Ativo Plaza, Lot A-G-2, Block A, No. 1 Jalan PJU 9/1, Damansara Avenue, Bandar Sri Damansara, PJU 9 Kuala Lumpur Federal Territories Kuala Lumpur",3.1967343,101.616332
Selangor,Petaling,"Atria Shopping Gallery  Lot G38, Ground Floor, Atria Shopping Gallery, Atria Damansara, Jalan SS22/23, Damansara Jaya Petaling Jaya Selangor",3.1266367,101.6163951
Pulau Pinang,Barat Daya,"Botanica Balik Pulau 142A, Ground Floor, Jalan Sungai Air Putih Balik Pulau Penang",5.371773,100.22119000000001
Pulau Pinang,Seberang Perai Utara,"Bagan Ajam Drive Thru No.9, Lorong Oren, Pusat Perniagaan Oren Butterworth Penang",5.4387188,100.3829469
Johor,Batu Pahat,"Batu Pahat Old Street No. 21, Ground Floor, Jalan Rotan Utama, Taman Sri Jaya Batu Pahat Johor",1.8639839,102.9538761
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Bangsar Shopping Centre Lot G112 G113 G114 & GK5, Ground Floor Bangsar Shopping Centre 285 Jalan Maarof Kuala Lumpur Federal Territories Kuala Lumpur",3.1428401,101.6675173
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Bangsar New Village II Lot no. GF-17, Ground Floor, Bangsar Village II, No 2, Jalan Telawi Satu Kuala Lumpur Federal Territories Kuala Lumpur",3.1306409,101.6712869
Pahang,Cameron Highlands,"Centrum Cameron Highlands Lot 44, C-G-44, Precinct 1, Cameron Centrum, Brinchang Cameron Highlands Pahang",4.495146699999999,101.389435
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Cheras Leisure Mall Lot G04, 05 & 06, Ground Floor, Cheras Leisure Mall, Jalan Manis 6, Taman Segar Kuala Lumpur Federal Territories Kuala Lumpur",3.0909294,101.7431317
Selangor,Petaling,"The Curve Lot G31, Ground Floor, The Curve, No.6 Jln PJU7/3 Mutiara Damansara Petaling Jaya Selangor",3.1577484,101.611405
Negeri Sembilan,Seremban,"Centrepoint Seremban Drive Thru Lot No: GE-01, Ground & First Floor, Centerpoint Seremban, Lot PT 9149 Jalan Dato' Siamang Gagap Seremban Negeri Sembilan",2.7228949,101.955192
Negeri Sembilan,Seremban,"Centrio Seremban 2 Lot No: 158-G, Jalan S2 B22, Pusat Dagang Seremban 2 Seremban Negeri Sembilan",2.6918705,101.9051873
Kedah,Kulim,"Central Shopping Kulim Lot GF-03 Ground Floor, Jalan KLC Satu, Kulim Central Shopping Centre Kulim Kedah",5.3857844,100.5462849
Selangor,Petaling,"Da Men USJ Lot G-14, Da Men Mall USJ 1, Persiaran Kewajipan , USJ 1",3.0584702,101.5934327
Selangor,Petaling,"KPJ Damansara Specialist Hospital Ground Floor, KPJ Damansara Specialist Hospital, 119 Jalan SS 20/10, Damansara Utama Petaling Jaya Selangor",3.137556,101.627535
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Desa ParkCity The Waterfront @ Parkcity Lot No. GF-09, Ground Level 5 Persiaran Residen Kuala Lumpur Federal Territories Kuala Lumpur",3.1869487,101.6277335
Selangor,Sepang,"Dpulze Cyberjaya Lot G 22 Ground Floor,Dpulze Shopping Centre, P-01 Dpulze, Lingkaran Cyber Point Timur,Cyber 12 Cyberjaya Selangor",2.9224569,101.6509026
Johor,Johor Bahru,"Eco Botanic No. 8 Jalan Eko Botani 3/3 Taman Eko Botani Iskandar Puteri, Johor Darul Takzim Johor",1.4393101,103.6171216
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"EkoCheras Mall M-G-33, Ekocheras Mall No. 693, Batu 5, Jalan Cheras Kuala Lumpur Federal Territories Kuala Lumpur",3.0934935,101.7391395
Selangor,Petaling,"Empire Shopping Gallery  LG 23, Empire Shopping Gallery Jalan SS 16/1, SS 16 Subang Jaya Selangor",3.0817783,101.5828038
Pulau Pinang,Timur Laut,"Gleneagles Hospital Penang 2 Ground Floor, No. 1 Jalan Pangkor Penang Penang",5.4267879,100.3199707
Johor,Johor Bahru,"Gravity Green Johor Block A3, G-01, Gravity Green Seri Alam, Jalan Suria, Bandar Baru Seri Alam Masai Johor",1.4962035,103.8728633
Pulau Pinang,Timur Laut,"G Hotel  Unit No. G-03 Retail Space 1, Ground Floor, G Hotel 168A, Persiaran Gurney Georgetown Penang",5.4375575,100.3106325
Pulau Pinang,Seberang Perai Tengah,"Galeri Impian Penang No:2332-G, Jalan Rozhan, Galeri Impian Penang Bukit Mertajam Penang",5.3157609,100.4784049
Selangor,Klang,"Gamuda Walk G-01 Gamuda Walk, Wisma Biz Gamuda,No. 12, Persiaran Anggerik Vanilla, Kota Kemuning, Seksyen 31 Shah Alam Selangor",3.000244,101.5343342
Pahang,Bentong,"Genting Premium Outlets Suite No. 638 Genting Highlands Premium Outlets® KM13, Genting Highlands Resorts Pahang Darul Makmur Genting Highlands Pahang",3.423978,101.7932011
Selangor,Petaling,"Giant Shah Alam Lot A14, A15 & A16 Ground Floor Giant Stadium Shah Alam Section 13 Shah Alam Selangor",3.073281,101.518461
Pulau Pinang,Timur Laut,"Gurney Walk Penang Lot G-12, Ground Floor, Gurney Walk No. 18 Persiaran Gurney Georgetown Penang",5.4304224,100.3192088
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Hartamas Shopping Centre Lot G-20, Ground Floor, Hartamas Shopping Centre, No. 60 Jalan Sri Hartamas 1, Sri Hartamas Kuala Lumpur Federal Territories Kuala Lumpur",3.163504,101.656995
Pulau Pinang,Seberang Perai Tengah,"Icon City Penang Ground & Mezzanine Floor,No 5, Jalan Icon City, Icon City Bukit Mertajam Penang",5.3451925,100.4348009
Selangor,Sepang,"IOI City Mall Lot G-27 , Ground Floor , IOI City Mall Lebuh IRC, IOI Resort City Putrajaya Selangor",2.970663,101.7136681
Pulau Pinang,Timur Laut,"Island Plaza Unit G-07, Ground Floor Island Plaza Shopping Complex, Jalan Tanjung Tokong Georgetown Penang",5.4503927,100.3058048
Selangor,Petaling,"IOI Mall Puchong Lot G00A3A - G00A5B & G00A5C, Ground Floor IOI Mall, Jalan Puchong, Bandar Puchong Jaya Puchong Selangor",3.0463256,101.6183585
Perak,Kinta,"Kinta City Lot G28A, Ground Floor Kinta City Shopping Centre No.2 Jalan Teh Lean Swee Off Jalan Sultan Azlan Shah Utara Ipoh Perak",4.6005126,101.0757837
Selangor,Ulu Langat,"Jade Hills Kajang No.65-1, Jalan Dataran Jade 4,  Dataran Jade, Jade Hills Kajang Selangor",2.992856,101.760673
Melaka,Melaka Tengah,"AEON Bandaraya Melaka Shopping Centre Lot G86, AEON Bandaraya Melaka Shopping Centre No. 2 Jalan Lagenda, Taman I-Lagenda Malacca Malacca",2.2148518,102.2463583
Johor,Kulai,"Johor Premium Outlets Suite 200, Johor Premium Outlets, Indahpura Kulai Johor",1.6028601,103.6215983
Perak,Kinta,"AEON Ipoh Station 18  Lot G67, Ground Floor, Aeon Ipoh Station 18 Shopping Centre No. 2, Susuran Stesen 18, Station 18 Ipoh Perak",4.5436839,101.0714925
Selangor,Petaling,"Jaya One G.003, Block E, The Square, Jaya One, No:72A, Jln Prof Diraja Ungku Aziz Petaling Jaya Selangor",3.1176708,101.635702
Selangor,Petaling,"PJ33 Unit PG-02A, Level G, PJ33, No. 3, Jalan Professor Khoo Kay Kim, Seksyen 13 Petaling Jaya Selangor",3.1107721,101.6372883
Pahang,Kuantan,"Kuantan City Mall Lot GF-19 & 19-AL, Ground Floor, Kuantan City Mall, Jalan Putra Square 6/1, Putra Square Kuantan Pahang",3.8175383,103.3276516
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Suria KLCC Lot OS204 & 218, Second Floor, Suria KLCC, KL City Centre Kuala Lumpur Federal Territories Kuala Lumpur",3.1582482,101.7121664
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"KL East Mall LG-02, KL East Mall, Off MRR2 Kuala Lumpur Federal Territories Kuala Lumpur",3.2247781,101.7304658
Johor,Kluang,"Kluang Mall Lot G-11, Ground Floor, Kluang Mall, Jalan Rambutan, Bandar Kluang Kluang Johor",2.0400737,103.3205798
Johor,Johor Bahru,"KOMTAR Johor Bahru Lot G01, Ground Floor, KOMTAR, Johor Bahru City Centre Johor Bahru Johor",1.462894,103.763229
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Link Bukit Jalil C-13-G, The Link 2 No. 5 Jalan Jalil Perkasa 1 Bukit Jalil Federal Territories Kuala Lumpur",3.0521722,101.6790518
Selangor,Sepang,"Mitsui Outlet Park No. F47, Tingkat 1 , Mitsui Outlet Park KLIA Persiaran Komersial Sepang Selangor",2.7802014,101.6772793
Melaka,Melaka Tengah,"Jusco Melaka Shopping Centre  Lot G39, Ground Floor Jusco Melaka Shopping Center Lebuh Ayer Keroh Malacca",2.234798,102.2814029
Selangor,Petaling,"Monash University Level 1, Sunway Monash Residence, Persiaran Tasik Barat Sunway South Quay Subang Jaya Selangor",3.0632018,101.5996253
Terengganu,Kemaman,"Mesra Mall Terengganu Lot 23, Ground Floor, Mesra Mall Lot 6490, Jalan Kemaman-Dungun, Daerah Kemaman Kemasik Terengganu",4.4401522,103.4482513
Pulau Pinang,Timur Laut,"Moulmein Rise No:9-1-01, Moulmein Rise, Jalan Moulmein, Pulau Tikus Georgetown Penang",5.429141599999999,100.3125998
Negeri Sembilan,Seremban,"Mesa Mall Nilai G-33b & G33c, Pusat Membeli- Belah Mesa, Pusat Perniagaan & Residensi Mesa, Persiaran Ilmu, Putra Nilai Nilai Negeri Sembilan",2.8249092,101.7774146
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Mont Kiara Shop No.6, Verandah No.6 & Terrace B Ground Floor, Shoplex Mont’ Kiara Off Jalan Bukit Kiara Kuala Lumpur Federal Territories Kuala Lumpur",3.168469,101.6511722
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Mid Valley Exhibition Lot No. T-033A, Third Floor, Mid Valley Megamall, Mid Valley City, Lingkaran Syed Putra Kuala Lumpur Federal Territories Kuala Lumpur",3.1176139,101.6781758
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Mid Valley Megamall  Unit G047, Ground Floor Mid Valley Megamall Mid Valley City, Lingkaran Syed Putra Kuala Lumpur Federal Territories Kuala Lumpur",3.1175628,101.6774073
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"NU Sentral Lot No: LG 29 & LG 29AL, Level Lower Ground, Nu Sentral Shopping Centre, No. 201 Jalan Tun Sambanthan Kuala Lumpur Federal Territories Kuala Lumpur",3.1328277,101.6873496
Selangor,Petaling,"1 Utama  Lot G323c, Ground Floor Highstreet 1 Utama Shopping Centre Bandar Utama Damansara Petaling Jaya Selangor",3.1480679,101.6164417
Pulau Pinang,Seberang Perai Tengah,"Prai Auto-City No.1681-G3, Jalan Perusahaan, Highway Autocity, North-South Highway Juru Interchange Prai Penang",5.3363298,100.4323918
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Pavilion KL Lot C3.01.00, Level 3 Pavilion Kuala Lumpur, 168 Jalan Bukit Bintang Kuala Lumpur Federal Territories Kuala Lumpur",3.1489607,101.7134125
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Pavilion Bintang Circle  Lot No. P2.07.00, Level 2, Pavilion Kuala Lumpur 168 Jalan Bukit Bintang Kuala Lumpur Federal Territories Kuala Lumpur",3.1489607,101.7134125
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Pavilion Bukit Jalil Lot 2.44.00 Level 2, Pavilion Bukit Jalil , No.2, Persiaran Jalil 8 Bukit Jalil Federal Territories Kuala Lumpur",3.0502354,101.670963
W.P. Kuala Lumpur,W.P. Kuala Lumpur,Prince Court Hospital Prince Court Medical Centre 39 Jalan Kia Peng Kuala Lumpur Federal Territories Kuala Lumpur,3.148970400000001,101.7217335
Selangor,Petaling,"Paradigm Mall Lot CF-11, Concourse Floor, Paradigm Mall No. 1 Jalan SS 7/26a, Kelana Jaya Petaling Jaya Selangor",3.1051171,101.5959701
Pulau Pinang,Seberang Perai Selatan,"Penang Design Village Lot G-160, Design Village Outlet Mall, 733, Jalan Cassia Barat 2 Bandar Cassia Penang",5.2440117,100.4382786
Johor,Johor Bahru,"Plaza Pelangi Lot 1.17 & 1.18 Level 1, Plaza Pelangi Jalan Kuning, Taman Pelangi Johor Bahru Johor",1.4804916,103.7651672
Pulau Pinang,Barat Daya,"Pantai Hospital Penang Ground Floor, Pantai Hospital Penang 82 Jalan Tengah, Bayan Baru Bayan Lepas Penang",5.3212537,100.2822125
Johor,Johor Bahru,"Puteri Specialist Hospital Level 1, Annexe Block, KPJ Puteri Specialist Hospital, No. 33, Jalan Tun Abdul Razak (Susur 5) Johor Bahru Johor",1.4906273,103.7420823
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Pinnacle Sri Petaling Mall G-11 and G-11A, Ground Floor, Pinnacle Sri Petaling Mall, 1 Jalan Radin Anum 1 Kuala Lumpur Federal Territories Kuala Lumpur",3.0678254,101.6943049
Selangor,Petaling,"Bandar Puteri Puchong C-GF-01 & 02, Le Pavilion Apartment, Jalan Puteri 7/13 Bandar Puteri Puchong Puchong Selangor",3.0175262,101.6247034
Pulau Pinang,Barat Daya,"Queensbay Mall Unit No: GF89, Queensbay Mall, 100, Persiaran Bayan Indah, Bayan Lepas Penang",5.333177399999999,100.3066084
Selangor,Kuala Langat,"Gamuda Quayside Mall Lot GF-0-1, Gamuda Quayside Mall, Telok Panglima Garang Kuala Langat Selangor",2.9568618,101.5536023
Negeri Sembilan,Seremban,"Rasah Prima Seremban  No 53, Ground Floor, Jalan Rasah Prima 3, Pusat Komersial Rasah Prima Seremban Negeri Sembilan",2.6895945,101.934753
Selangor,Petaling,"Subang Parade G25C, Ground Floor, Subang Parade No.5, Jalan SS16/1, Subang Jaya Petaling Jaya Selangor",3.0831937,101.5870489
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Wisma Golden Eagle Realty Lot No. 1-A2, Ground Floor, North Block Wisma Selangor Dredging, 142-D Jalan Ampang Kuala Lumpur Federal Territories Kuala Lumpur",3.1592926,101.7091679
W.P. Kuala Lumpur,W.P. Kuala Lumpur,Shell Kepong Drive Thru Lot No.,3.213966,101.6355931
Johor,Johor Bahru,"The Mall, Mid Valley Southkey G-016, The Mall, Mid Valley Southkey, Persiaran Southkey 1, Southkey Johor Bahru Johor",1.5013338,103.7774187
Selangor,Petaling,Sunway Medical Centre Ground Floor No. 5 Jalan Lagoon Selatan Bandar Sunway Selangor,3.0658578,101.609476
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Solaris No. 1,  Jalan Solaris 3, Solaris Mont’ Kiara, Off Jalan Duta Kiara Kuala Lumpur",3.1745774,101.6596482
Selangor,Petaling,"Skypark Terminal, Sultan Abdul Aziz Shah Airport  Lot G6 & G7 (near Departure entrance), Skypark Terminal, Sultan Abdul Aziz Shah Airport Subang Selangor",3.1330707,101.5537837
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"The Sphere Bangsar South Unit UG-6, Level Upper Ground, The Sphere No 1, Avenue 1, Bangsar South City, No 8, Jalan Kerinchi Kuala Lumpur Federal Territories Kuala Lumpur",3.1107845,101.6676501
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Sunway Putra Mall Unit No. 1-36, First Floor, Sunway Putra Mall No. 100, Jalan Putra Kuala Lumpur Federal Territories Kuala Lumpur",3.1665524,101.6924341
Selangor,Petaling,"Sunway Pyramid  Lot G1 Rink, Ground Floor, Sunway Pyramid Shopping Mall No. 3 Jln PJS 11/15 Bandar Sunway Selangor",3.0703398,101.6076732
Negeri Sembilan,Seremban,"Seremban Gateway No. 9-G, Gerbang Seremban Off Jalan Sungai Ujong Seremban Negeri Sembilan",2.7165001,101.919414
Pulau Pinang,Seberang Perai Selatan,"Setia Sentral Penang No:3&5, Lorong Setia Sentral 1, Pusat Perniagaan Setia Sentral Bukit Mertajam Penang",5.263234100000001,100.4846227
Pulau Pinang,Barat Daya,"Solaria Square Lot G-1, Solaria Square, Medan Rajawali, Kampung Perlis Bayan Lepas Penang",5.300138899999999,100.2661972
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Setapak Central Mall Unit G13, Ground Floor, Setapak Central No.67, Jalan Taman Ibu Kota Taman Danau Kota Setapak Federal Territories Kuala Lumpur",3.205435,101.7199889
Johor,Johor Bahru,"Setia Tropika Drive Thru Tropika Welcome Centre Lot GF-03A, No. 10 Jalan Setia Tropika 1/21, Taman Setia Tropika Johor Bahru Johor",1.5486983,103.7169113
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Sentul Point AG-20, Ground Floor, Puncak Sentul, No:8, Jalan Sentul Perdana Sentul",3.2019286,101.6893558
Pulau Pinang,Barat Daya,Summerton Penang 110-01-20 Summerton Persiaran Bayan Indah Bayan Lepas Penang,5.3388678,100.3088008
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Sunway Velocity G-73, G-74 & G-75 Sunway Velocity Mall, Lingkaran SV, Sunway Velocity Kuala Lumpur Federal Territories Kuala Lumpur",3.127871400000001,101.7248453
