state,district,name,address,lat,lng
Johor,Johor Bahru,"PERMAS JAYA, JOHOR","No 28 (Ground Floor), Jln Permas 10, Bandar Baru Permas Jaya, 81750 Masai, Johor",1.4955932,103.8143039
Pahang,Raub,RAUB,"No 28 (Ground Floor), Pusat Perniagaan Raub, 27600 Raub, Pahang",3.7904628,101.8570704
Pulau Pinang,Seberang Perai Selatan,ZUS COFFEE – ICONIC POINT SIMPANG AMPAT,"No 29-G (Ground Floor), Jalan Iconic Point, Iconic Point Business Park, 14100 Simpang Ampat, Pulau Pinang",5.2835499,100.4762989
Pulau Pinang,Seberang Perai Selatan,ZUS COFFEE – ECO BOREALIS,"No 29-G, Jalan Borealis 3, Pusat Komersial Borealis, Bandar Cassia, 14110 Simpang Ampat, Pulau Pinang.",5.259198899999999,100.4411995
Sabah,Penampang,ZUS COFFEE – LINTAS PLAZA,"No 30-0 (Ground Floor), Phase 2C, Lorong Lintas Plaza, Lintas Plaza, 88300 Kota Kinabalu, Sabah.",5.9352787,116.0733855
Selangor,Gombak,ZUS COFFEE – SETIAWANGSA,"No 30-G (G-Floor), Jalan Setiawangsa 10 (10/55A), Taman Setiawangsa, 54200, WP Kuala Lumpur",3.1780253,101.742
Negeri Sembilan,Seremban,BANDAR ENSTEK,"No 31 (Ground Floor), 1A, Jalan Timur 6, Timur@Enstek, 71760 Bandar Baru Enstek, Negeri Sembilan",2.7471301,101.7649457
Pulau Pinang,Seberang Perai Tengah,"MAJU UTAMA, PENANG","No 3183 (Ground Floor), Jalan Maju, Pusat Perniagaan Maju Utama, 14000 Bukit Mertajam, Pulau Pinang",5.3521982,100.4692227
Selangor,Sepang,ZUS COFFEE – CYBERSOUTH DENGKIL,"No 35-G, Jalan PP 1/1, Park Place 1, Cybersouth, 43800 Dengkil, Selangor",2.8686801,101.6589065
Melaka,Melaka Tengah,ZUS COFFEE – JONKER STREET,"No 38, Jalan Hang Jebat, 75200, Melaka",2.1958304,102.2475785
Melaka,Melaka Tengah,ZUS COFFEE – MELAKA TAMAN MERDEKA,"No 39 (Ground Floor), Jalan Merdeka 1, Taman Merdeka, Hang Tuah Jaya, 75350 Batu Berendam, Melaka.",2.2316637,102.2820098
Melaka,Melaka Tengah,"ZUS COFFEE – BATU BERENDAM, MELAKA","No 42, Ground Floor, Jalan Mutiara Melaka 2, Taman Mutiara Melaka, Batu Berendam, 75350 Hang Tuah Jaya, Melaka",2.2383661,102.2606104
Melaka,Melaka Tengah,"ZUS COFFEE – BUKIT RAMBAI, MELAKA","No 47, Jalan Rambai Jaya 29, Taman Rambai Jaya 75260 Melaka",2.2638153,102.1891375
Pulau Pinang,Seberang Perai Tengah,ZUS COFFEE – TAMAN CHAI LENG,"No 48, Ground Floor, Lebuh Kurau 3, Taman Chai Leng, 13700 Perai, Pulau Pinang",5.3857278,100.3917272
Perak,Kuala Kangsar,KUALA KANGSAR,"No 4D (Ground Floor), Jalan Raja Chulan, 33000 Kuala Kangsar, Perak",4.7756132,100.9412491
Johor,Johor Bahru,ZUS COFFEE – BANDAR SERI ALAM,"No 5 (Ground floor), Jalan Suria 3, Bandar Seri Alam, 81750 Masai, Johor",1.4967028,103.8719289
Pahang,Temerloh,TEMERLOH,"No 53 (Ground Floor, Jln Ahmad Shah 1, Pusat Komersil, 28000 Temerloh, Pahang",3.448649,102.4163482
Johor,Johor Bahru,"JALAN MOLEK, JOHOR","No 55 (Ground Floor, Jalan Molek 1/29, Taman Molek, 81100 Johor Bahru, Johor",1.5328588,103.7899986
Negeri Sembilan,Port Dickson,ZUS COFFEE – SUNGGALA GATEWAY,"No 7-G (Ground Floor), Jalan PDS 2, PD Sunggala Gateway, Teluk Kemang, 71050 Port Dickson, Negeri Sembilan.",2.4744956,101.8563308
Kedah,Yan,ZUS COFFEE – GUAR CHEMPEDAK,"No 9, Kompleks Perniagaan Guar Utama, 08800 Guar Chempedak",5.859421999999999,100.4559459
Perak,Muallim,ZUS COFFEE – SLIM RIVER,"No 90-A, Jalan Perdana 5, Pusat Perniagaan Slim Perdana, 35800 Slim River, Perak Darul Ridzuan.",3.830025,101.4046448
Perak,Manjung,ZUS COFFEE – TAMAN LUMUT INDAH 2,"No. 10 (Ground Floor), Jalan Lumut Indah 2/1, Taman Lumut Indah 2, 32200 Lumut, Perak.",4.2087703,100.6386762
Johor,Johor Bahru,BANDAR BARU UDA,"No. 11G, Jalan Padi Emas 1/4, Bandar Baru Uda, 81200 Johor Bahru, Johor",1.4926226,103.7087756
Johor,Tangkak,ZUS COFFEE – TANGKAK JOHOR,"No. 131 (Ground Floor), Jalan Muar, 84900 Tangkak Johor",2.2336402,102.5350652
Johor,Johor Bahru,BUKIT TIRAM,"No. 13G, Jalan Ledang 25, Taman Bukit Tiram, 81800 Ulu Tiram, Johor",1.6023863,103.8135822
Johor,Tangkak,ZUS COFFEE – JOHOR BUKIT GAMBIR TANGKAK,"No. 16 (Ground Floor), Jalan Gambir 5A, Bandar Baru Bukit Gambir, 84800 Tangkak, Johor",2.2122122,102.6533197
Johor,Mersing,MERSING,"No. 16G, Jalan Abu Bakar, Mersing 86800, Johor",2.4313135,103.8370557
Kedah,Padang Terap,ZUS COFFEE – KUALA NERANG,"No. 18, Kompleks Kuala Nerang, Jalan Kuala Nerang, Pekan Baru, 06300 Kuala Nerang, Kedah.",6.313168,100.529877
Pahang,Rompin,ZUS COFFEE – MUADZAM SHAH,"No. 25-G, Jalan Pms 3 1/1, Taman Perindustrian Muadzam Shah 3, 26700 Muadzam Shah, Pahang Darul Makmur.",3.0813483,103.0753183
Selangor,Ulu Langat,ZUS COFFEE – TTDI GROVE KAJANG,"No. 26, JALAN TTDI GROVE 1/1, 43000 KAJANG, SELANGOR",2.9974091,101.8126406
Perak,Kinta,ZUS COFFEE – CANNING II IPOH,"No. 29 (GF), Hala Pusat Perdagangan Canning 1, Pusat Perdagangan Canning II, 30350 Ipoh, Perak.",4.6008996,101.1140167
Kelantan,Kota Bharu,ZUS COFFEE – JALAN TEMENGGONG,"No. 365-I,Tingkat Bawah,Jalan Temenggong,15000,Kota Bharu,Kelantan",6.1303878,102.2376248
Johor,Kota Tinggi,KOTA TINGGI,"No. 36G, Jalan Jaffar, 81900 Kota Tinggi, Johor",1.7288702,103.9003671
Selangor,Kuala Langat,ZUS COFFEE – JENJAROM,"No. 37 (Ground Floor), Jalan 2/1, Taman Seri Jaromas, 42600 Jenjarom",2.875671,101.5047596
Perak,Kerian,PARIT BUNTAR,"No. 38, Ground Floor, Jalan Wawasan 4, Taman Wawasan Jaya, 34200 Parit Buntar, Perak",5.1133482,100.4810109
Pulau Pinang,Seberang Perai Selatan,ZUS COFFEE – KEPALA BATAS POKOK SENA,"No. 45, (Ground Floor), Persiaran Pokok Sena, Pusat Perniagaan Pokok Sena, 13220 Kepala Batas, Pulau Pinang",5.2659402,100.4755243
Johor,Johor Bahru,SETIA TROPIKA,"No. 45, Jalan Setia Tropika 1/15, Taman Setia Tropika, 81200 Johor Bahru, Johor",1.5461439,103.7128486
Johor,Johor Bahru,JOHOR ECO BOTANIC,"No. 50 G, Jalan Eko Botani 3/2, Taman Eko Botani, 79100 Iskandar Puteri, Johor",1.439912,103.6193324
Perak,Larut Dan Matang,TAIPING PEKELILING,"No. 8 & 10, Off, Jalan Pekeliling, Taman Tasik Commercial Centre, 34000 Taiping, Perak",4.8498239,100.746723
Pulau Pinang,Timur Laut,"ZUS COFFEE – TREE SQUARE, TANJUNG BUNGAH","No. 88-G-A05, Jalan Sungai Kelian, 11200 Tanjong Bungah, Penang",5.4632806,100.2840652
Selangor,Sepang,"ZUS COFFEE – TAMAN MYRA MERANTI, PUCHONG","No. 8A (Ground Floor), Jalan MM4, Taman Myra Meranti, 47120 Puchong, Selangor Darul Ehsan",2.9676042,101.6414727
Selangor,Petaling,ZUS COFFEE – TAIPAN USJ,"No. 9 (Ground Floor), Jalan USJ 10/1E, Taipan Business Centre, 47620, Subang Jaya, Selangor",3.048131,101.5837363
Sabah,Kota Kinabalu,ZUS COFFEE – KINGFISHER PLAZA,"No. 9-0, Ground Floor, Block D, Lorong Plaza Kingfisher 4, Plaza Kingfisher, 88450 Kota Kinabalu, Sabah",6.0162405,116.1225076
Negeri Sembilan,Seremban,BANDAR PRIMA SENAWANG,"No. 91-G, Jalan BPS5, Bandar Prima Senawang, 70450 Seremban, Negeri Sembilan",2.702504,101.9799301
Sabah,Kota Kinabalu,ZUS COFFEE – AEROPOD COMMERCIAL SQUARE,"No. B-1-3 (Ground Floor), Aeropod Commercial Square, Jalan Aeropod, Off Jalan Kepayan, Sabah",5.950324999999999,116.0603593
Sarawak,Kuching,ZUS COFFEE – PLAZA MERDEKA KUCHING,"No. G-01, Ground Floor, Plaza Merdeka Shopping Centre, 88 Pearl Street, 93000 Kuching, Sarawak, Malaysia",1.5581425,110.3439812
Selangor,Gombak,ZUS COFFEE – BANDAR COUNTRY HOMES RAWANG,"No. G-16, Avia Plus, Jalan Desa Utama, Bandar Country Home, 48000 Rawang, Selangor",3.323572,101.526664
Selangor,Ulu Langat,ZUS COFFEE – BANDAR TEKNOLOGI KAJANG,"No. G-8 (Ground Floor), Jalan 1/2, HILLPARK RESIDENCE, Seksyen 1 Bandar Teknologi Kajang, 43500 Semenyih, Selangor",2.9704069,101.8280301
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"ZUS COFFEE – CUBIC BOTANICAL, PANTAI DALAM","No. R2-1 (Lower Ground Floor), Residensi Rimba Pantai Dalam, No. 6, Jalan Pantai Sentral 3, Pantai Dalam, 59200 Kuala Lumpur",3.0934504,101.666571
Pahang,Temerloh,ZUS COFFEE – BANDAR MENTAKAB,"No.131 (Ground Floor) Jalan Melati 28400 Mentakab, Pahang.",3.4847719,102.3464587
Kedah,Kuala Muda,"ZUS COFFEE – TAMAN JERAI MAJU, GURUN","No.14 (GF), Jalan Jerai Maju 2, Taman Jerai Maju 08300 Gurun, Kedah.",5.8170186,100.4825478
Johor,Johor Bahru,ADDA HEIGHT,"No.20 (GF) Jalan Adda 7, 81100 Johor Bahru, Johor",1.5463813,103.7475743
Kedah,Kuala Muda,"ZUS COFFEE – TAMAN SEJATI, SUNGAI PETANI","No.25 (GF),Jalan Permatang Gedong Taman Sejati Indah 08000 Sungai Petani Kedah.",5.613192,100.4829565
Melaka,Melaka Tengah,AYER KEROH,"No.25, GF, Jalan Komersial TAKH 2, Taman Ayer Keroh Heights, Ayer Keroh, 75450 Hang Tuah Jaya Melaka",2.2533575,102.2906848
Selangor,Petaling,ZUS COFFEE – TAMAN SRI MANJA,"No.25, Jalan PJS 3/46, Taman Sri Manja, 46000 Petaling Jaya",3.074155,101.648049
Selangor,Petaling,"ZUS COFFEE – TTDI JAYA, SHAH ALAM","No.33 (Ground Floor), Jalan Opera F U2/F, Taman TTDI Jaya, Seksyen U2, 40150 Shah Alam.",3.0985196,101.5555416
Perak,Manjung,ZUS COFFEE – PEKAN AYER TAWAR,"No.35 (GF), Jalan Besar, 32400, Ayer Tawar, Perak.",4.2407417,100.6808414
Perak,Kinta,ZUS COFFEE – IPOH SUNWAY CITY,"No.4 (Ground Floor), Jalan Darul Johan Batu 5, Sunway City, 31400 Tambun, Perak",4.6202751,101.1470589
Johor,Batu Pahat,ZUS COFFEE – YONG PENG,"No.4 (Ground floor), Jalan Cahaya Baru, Taman Bandar Cahaya Baru, 83700 Yong Peng, Johor",2.0100478,103.0696723
Melaka,Melaka Tengah,ZUS COFFEE – MITC MELAKA,"No.41, Ground Floor, Jalan Komersial, Taman Kota Fesyen MITC, 75450, Ayer Keroh, Melaka",2.268412,102.2923025
Negeri Sembilan,Seremban,ZUS COFFEE – PUSAT KOMERSIAL RASAH PRIMA,"No.43G, Jalan Rasah Prima 3, Pusat Komersial Rasah Prima, 70300 Seremban, Negeri Sembilan.",2.6887465,101.9333009
Johor,Johor Bahru,ZUS COFFEE – DESA CEMERLANG,"No.49, Jalan Tanjong 2, Taman Desa Cemerlang, 81800 Ulu Tiram, Johor.",1.5608971,103.8087674
Johor,Johor Bahru,KEBUN TEH,"No.4G, Jalan Kebun Teh 2, Taman Kebun Teh, 80250 Johor Bahru, Johor",1.4854105,103.7535633
Selangor,Petaling,ZUS COFFEE – SS2,"No.5, Jalan SS2/67, SS2, 47300 Petaling Jaya, Selangor",3.1185521,101.6230091
Sabah,Papar,"ZUS COFFEE – PLAZA 22, PAPAR","No.51, Ground Floor, Block H, Plaza 22, Jln Pengalat Lok Kawi, 89600 Papar, Sabah",5.7365496,115.9380868
Perak,Batang Padang,ZUS COFFEE – PEKAN TAPAH,"No.53A Jalan Besar, 35000 Tapah, Perak.",4.1965957,101.2625313
Johor,Johor Bahru,"ZUS COFFEE – THE ARTIZ, JOHOR BAHRU","No.6(GF), Jalan Setia 3/12, Taman Setia Indah, 81100 Johor Bahru, Johor.",1.5766969,103.7583438
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"ZUS COFFEE – TOWER 8, HORIZON 2, BANGSAR SOUTH","Office 2, Ground Floor, Tower 8, Bangsar South City, Jalan Kerinchi, Kuala Lumpur.",3.1109305,101.6666748
Terengganu,Kuala Terengganu,ZUS COFFEE – PAYA BUNGA SQUARE,"PK-02, Aras Bawah, Kompleks Paya Bunga Square, Jalan Masjid Abidin, 20100 Kuala Terengganu",5.3333924,103.1374588
Terengganu,Kemaman,ZUS COFFEE – CHUKAI,"PT 11296 (Ground Floor), Jalan Kubang Kurus, Taman Cukai Utama, 24000 Chukai, Terengganu",4.2212601,103.4186279
Negeri Sembilan,Seremban,ZUS COFFEE – PUSAT BANDAR PUTRA NILAI,"PT 12172 (Ground Floor), Jalan BBN 1/1F, Putra Nilai, 71800 Nilai, Negeri Sembilan.",2.8143405,101.7971551
Terengganu,Kuala Terengganu,"ZUS COFFEE – KAMPUNG LAUT, KUALA TERENGGANU","PT 3632 Tingkat Bawah, Jalan Alam Mutiara 1/1, Alam Mutiara, Jalan Kg Laut, 21100 Kuala Terengganu Terengganu.",5.2838764,103.1422135
Negeri Sembilan,Jempol,ZUS COFFEE – GEMAS,"PT 4633-G, Ground Floor, Jalan Pekan Gemas, Pekan Gemas, 73400 Gemas, Negeri Sembilan",2.667298,102.5730619
Terengganu,Kuala Nerus,ZUS COFFEE – DATARAN AUSTIN,"PT35394 , Ground Floor, Dataran Austin, Jalan Gong Badak Kg Wakaf Tembesu, 21300, Kuala Terengganu, Terengganu",5.3570287,103.0965891
Johor,Kulai,ZUS COFFEE – DT SHELL PULAI PERDANA,"PTD 105042, Jalan Skudai-Pontian, Kangkar Pulai, 81300 Skudai, Johor",1.5629218,103.5849762
Perak,Kinta,ZUS COFFEE – PEJABAT POS BESAR IPOH,"Pejabat Pos Besar Ipoh. JKR 5120, Jalan Kelab, 30670 Ipoh, Perak.",4.6005126,101.0757837
Negeri Sembilan,Seremban,ZUS COFFEE – MESAMALL NILAI,"Persiaran Ilmu, Bandar Baru Nilai, 71800 Nilai, Negeri Sembilan",2.8287589,101.7886804
W.P. Kuala Lumpur,W.P. Kuala Lumpur,ZUS COFFEE – PLAZA LOW YAT,"Plaza Low Yat, Lot LG-04 & 05, Lower Ground Floor, 7, Jalan Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1440858,101.70994
Kelantan,Tanah Merah,ZUS COFFEE – BANDAR TANAH MERAH,"Pt 461-G Jalan Tasek 17500 Tanah Merah, Kelantan.",5.8084988,102.1491418
Negeri Sembilan,Seremban,"CENTRIO SQUARE, SEREMBAN 2","Pusat Dagangan, 126-G, Jln S2 B21, Seremban 2, 70300 Seremban, Negeri Sembilan",2.6923625,101.9030709
Melaka,Melaka Tengah,BUKIT BARU,"Pusat Niaga, No 4 (Ground Floor) Jalan PNBBU 3, Bukit Baru, Bukit Baru Utama, 75150 Bukit Baru, Melaka",2.2164616,102.2708531
Selangor,Petaling,ZUS COFFEE – PLAZA SHAH ALAM,"S19, Second Floor, Jalan Tengku Ampuan Zabedah E 9/E, Seksyen 9, 40100 Shah Alam, Selangor",3.0855276,101.5229119
Kelantan,Kota Bharu,ZUS COFFEE – AEON MALL KOTA BHARU,"S47 & S48B, Second Floor, AEON Mall Kota Bharu, Lembah Sireh, 15050 Kota Bharu, Kelantan",6.1089746,102.2300461
Melaka,Alor Gajah,ZUS COFFEE – KUALA SUNGAI BARU,"SI 15, Ground Floor, Jalan Sungai Baru Ilir Jaya Utama, Taman Sungai Baru Ilir Jaya, 78300 Masjid Tanah, Melaka.",2.366348,102.0512475
Melaka,Alor Gajah,"MASJID TANAH, MELAKA","SU 1443 (Ground Floor), Jalan Masjid Tanah Ria Utama, Taman Masjid Tanah Ria, 78300 Masjid Tanah, Melaka",2.3515438,102.1162641
Sarawak,Kuching,ZUS COFFEE – THE HILLS KUCHING,"Shop 22, Lower Ground Floor, The Hills, Interhill Place, 8, Jalan Bukit Mata Kuching, 93100 Kuching, Sarawak",1.5556253,110.3510513
Selangor,Sepang,ZUS COFFEE – SHELL CYBERJAYA AUTOVILLE,"Stesen Minyak Shell Autoville, Persiaran Mutilmedia, Cyber 10, 63000, Cyberjaya, Selangor",2.9182596,101.6306655
Sarawak,Kuching,ZUS COFFEE – GALACITY KUCHING,"Sub Lot 80, Ground Floor, Galacity Kuching, alan Datuk Tawi Sli 3rd Exchange Commercial Centre, 93250 Kuching, Sarawak",1.5087268,110.3354475
Sarawak,Kuching,ZUS COFFEE – METROMALL @ METROCITY SQUARE,"Sublot No. 8, Ground Floor, MetroMall @ Metrocity Square, Survey Lot 13767 Section 6, Kuching Town Land District Metrocity Sqaure Boutique Shops",1.5679417,110.3074872
Johor,Johor Bahru,"SUTERA MALL, JOHOR","Sutera Mall, L2-550k, Jalan Sutera Tanjung 8/4, 81300 Skudai, Johor",1.517129,103.6714742
Pahang,Jerantut,ZUS COFFEE – BANDAR BARU JERANTUT,"TT6, Tingkat 1, Jalan Dulang 1, Bandar Baru, 27000 Jerantut, Pahang.",3.939099699999999,102.3610753
Negeri Sembilan,Seremban,PALM MALL SEREMBAN,"UG-29, Palm Mall, Jalan Sungai Ujong, 70200 Seremban, Negeri Sembilan Darul Khursus.",2.7198558,101.9229003
W.P. Putrajaya,W.P. Putrajaya,ZUS COFFEE – SUASANA PJH PRESINT 2,"Unit A-G-R10 & A-G-R11, Block A, Suasana PjH, Jalan Tun Abdul Razak, Presint 2, 62100 Putrajaya",2.925546,101.6871191
Pulau Pinang,Seberang Perai Tengah,SEBERANG PERAI,"Unit B1-G-12, Elevate 1, Lorong Pauh Jaya 1/3, Taman Pauh Jaya, 13500 Permatang Pauh, Seberang Perai Tengah",5.3701628,100.415582
Perak,Kinta,ZUS COFFEE – IPOH PARADE,"Unit G03, Ipoh Parade Mall, 105, Jalan Sultan Abdul Jalil, Pusat Perdagangan Greentown, 30450 Ipoh, Perak.",4.597172,101.090072
Kedah,Langkawi,ZUS COFFEE – LANGKAWI MAHA TOWER,"Unit L1A-01, MAHA Tower Langkawi, Kuah, 07000 Langkawi, Kedah",6.3200889,99.84584509999999
Selangor,Sepang,ZUS COFFEE – UNIVERSITI MALAYA CENTRE FOR CONTINUING EDUCATION,"VIP Dining, Cyberview 23, Jalan Teknokrat 3, Cyber 4, 63000 Cyberjaya, Selangor",2.926345,101.655077
Terengganu,Kuala Nerus,ZUS COFFEE – UNIVERSITI SULTAN ZAINAL ABIDIN (LAMAN SELERA),"ZUS Coffee @ Laman Selera, Universiti Sultan Zainal Abidin, Kampus Gong Badak, 21300 Kuala Terengganu, Terengganu",5.3975616,103.0780128
