state,store,address,status
Perlis,Kompleks Tok Arau,"Lot No 10A, Kompleks Tok Arau, Jalan Tiga, 02600, Arau, Perlis",Open
Selangor,1 Utama,"G129A, 1 Utama Shopping Centre, 1, Lebuh Bandar Utama, Bandar Utama, 47800, Petaling Jaya, Selangor",Open
Pulau Pinang,1st Avenue Penang,"182, Jalan Magazine, 10300, George Town, Pulau Pinang",Open
Johor,Aeon Bandar Dato Onn,"G51, Aeon Dato' Onn, 3, Jln Dato' Onn 3, Bandar Dato Onn, 81100, Johor Bahru, Johor",Open
Melaka,AEON Bandaraya Melaka,"GK09B, Aeon Mall Bandaraya Melaka, 2, Jalan Lagenda, Taman 1 Lagenda, 75400, Taman 1 Lagenda, Melaka",Open
Perak,Aeon Big Falim,"Lot G52, No. 1, Hala Falim 1, Taman Mas Jaya, 30200, Falim, Perak",Open
Selangor,Aeon Bukit Tinggi,"Lot G41, No 1, Persiaran Batu Nilam 1/KS 6, Bandar Bukit Tinggi 2, 41200 , Klang, Selangor",Open
W.P. Kuala Lumpur,Aeon Cheras Selatan,"Jalan Cheras Perdana Cheras 43200, Balakong, WP Kuala Lumpur",Open
W.P. Kuala Lumpur,Aeon Metro Prima,"KG5 Ground Floor, AEON Mall, Metro Prima, 1, Jalan Metro Prima, 52100, Taman Kepong, WP Kuala Lumpur",Open
Negeri Sembilan,Aeon Nilai,"KF12, Aeon Nilai Mall, Persiaran Pusat Bandar, Bandar Baru Nilai, 71800, Nilai, Negeri Sembilan",Open
Negeri Sembilan,Aeon Seremban 2,"Lot KF8 First Floor, Aeon Seremban 2 Store & Shopping Centre, 112, Persiaran S2 B1, Seremban 2, 70300, Seremban, Negeri Sembilan",Open
Selangor,Aeon Shah Alam,"Lot KS5, Aeon Shah Alam, Jln Akuatik 13/64, Seksyen 13, 40100, Shah Alam, Selangor",Open
Perak,Aeon Taiping,"G55B, Aeon Taiping Mall, Lot 8576 & 8577, Jalan Kamunting, 34000, Taiping, Perak",Open
Johor,Aeon Taman University,"Lot LG-05, Aeon Taman University, No 4, Jalan Pendidikan Taman Universiti, 81300, Skudai, Johor",Open
Johor,Aeon Tebrau,"Aeon Tebrau City Shopping Centre, Lot KS06, 1, Jalan Desa Tebrau, Taman Desa Tebrau, 81100, Johor Bahru, Johor",Open
Kedah,Aman Central,"4-K06, Aman Central, 1, Darul Aman Hwy, Kampung Lubok Peringgi, 05100, Alor Setar, Kedah",Open
Kedah,Amanjaya,"P38-P41, Lot 2, Amanjaya, 1, Jalan Badlishah, Bandar Amanjaya, 08000, Sungai Petani, Kedah",Open
W.P. Kuala Lumpur,Ampang Point,"Ampang Point, GE02 & PS02, 53, Jln Mamanda 9, Taman Dato Ahmad Razali, 68000, Ampang, Kuala Lumpur",Open
Johor,Angsana Mall,"Lot L1-37, Angsana Johor Bahru Mall, Skudai Lbh, Pusat Bandar Tampoi, 81200, Johor Bahru, Johor",Open
W.P. Kuala Lumpur,Avenue K,"152, Jalan Ampang, 55000, KLCC, WP Kuala Lumpur",Open
Selangor,Bandar Puteri Puchong,"No. 31, Floor G, Jalan Puteri 1/6, Section Bandar Puteri, 47100, Puchong, Selangor",Open
Selangor,Bangi KIP Mall,"GK-10 & GK-11, No. 1 Jalan Medan Bangi Business Park Bangi Golf Resort) Off, Persiaran Kemajuan, Seksyen 6, 43650, Bandar Baru Bangi, Selangor",Open
Selangor,Banting,"No.7-GF, Jalan Cemerlang 1, Pusat Perniagaan Banting, 42700, Banting, Selangor",Open
Johor,Batu Pahat Mall,"Batu Pahat Mall, Lot GK39 & GK40, G Floor, Jln Kluang, 83000, Batu Pahat, Johor",Open
Johor,Batu Pahat Shoplot,"12, Jalan Desa Botani 2, Taman Desa Botani, 83000, Batu Pahat, Johor",Open
W.P. Kuala Lumpur,Berjaya Times Square,"K-01-03C, Berjaya Time Square, 1, Jalan Imbi, 55100, Bukit Bintang, WP Kuala Lumpur",Open
W.P. Kuala Lumpur,Bloomsvale Shopping Gallery,"LGK-31,32,33, Bloomsvale, 137, Jalan Puchong, 58200, Kuala Lumpur, Selangor",Open
Kedah,C Mart Serai Wangi,"No 52, Lot PT 6413, H.S.(D) 78056, Mukim Bandar Padang Serai, 09400, Kulim, Kedah",Open
Pulau Pinang,C-Mart Nibong Tebal,"Lot No.G80, Kompleks Industri Cenderawasih, Jln Besar, Taman Perindustrian Nibong Tebal, 14300, Nibong Tebal, Pulau Pinang",Open
Sabah,Centre Point Sabah,"1, Lorong Centre Point, Pusat Bandar Kota Kinabalu, 88000, Kota Kinabalu, Sabah",Open
Kedah,Changlun @ Brewing Soon,"Lot No 79A, Jalan PKC 3, Pusat Komersial Changloon, 06010, Changlun, Kedah",Open
Selangor,D'Pulze Cyberjaya,"Lot UG 22, DPulze, Lingkaran Cyber Point Timur Cyber 12, 63000, Cyberjaya, Selangor",Open
W.P. Kuala Lumpur,Dataran Maybank Bangsar,"Dataran Maybank, No 1, Jalan Maarof, 59000, Bangsar, WP Kuala Lumpur",Open
W.P. Kuala Lumpur,Datum Jelatek Mall,"LG-K-08, Datum Jelatek Mall, Jalan Enggang, Taman Keramat, 54200, Kuala Lumpur, WP Kuala Lumpur",Open
Selangor,Denai Alam,"No 3, Ground Floor, Jalan Elektron U16/F, Denai Alam, 40150, Shah Alam, Selangor",Open
Selangor,Desa Coalfield KIP Mall,"KIPMall Desa Coalfields, 47000, Sungai Buloh, Selangor",Open
Selangor,Diner The Curve,"Lot No. GZF-01 - GZF-03, The Curve, Ground Floor, Mutiara Damansara, 47800, Petaling Jaya, Selangor",Open
Pahang,East Coast Mall,"L2-31, Jalan Putra Square 6, Putra Square, 25200, Kuantan, Pahang",Open
Selangor,Elmina Temu Shop,"NO 17-G, JALAN ESERINA, AA U16/AA, ELMINA, 40160, Shah Alam, Selangor",Open
Selangor,Emporis,"F-01-01 Emporis, Persiaran Surian, Kota Damansara, 47810, Petaling Jaya, Selangor",Open
Selangor,Evo Mall,"G.K02, Ground Floor, Evo Mall, Jalan Pusat Bandar 2, Seksyen 9, 43650, Bandar Baru Bangi, Selangor",Open
W.P. Kuala Lumpur,Faber Tower,"LOT G-OS-4C, Ground Floor, Faber Tower, Jalan Desa Bahagia, Taman Desa, 58100, Kuala Lumpur, WP Kuala Lumpur",Open
Pulau Pinang,Gurney Plaza,"Gurney Plaza, Plaza Gurney, 170-B1-K7, Persiaran Gurney, 10250, George Town, Pulau Pinang",Open
Selangor,Home Barista,"No.11, Jalan Kajibumi U1/70, Temasya Niaga, Temasya, Persiaran Kerjaya, Seksyen U1, 40150, Shah Alam, Selangor",Open
Selangor,I-City,"L1-K02, Level 1, I-City, Jalan Multimedia, Seksyen 7, 40000, Shah Alam, Selangor",Open
Selangor,Ikano Power Centre,"G.25,IPC Shopping Centre 2 Jalan PJU 7/2, Mutiara Damansara, 47800, Petaling Jaya, Selangor",Open
Pahang,Indera Mahkota Kuantan,"No 33, Lorong IM 3/19, Bandar Indera Mahkota, 25200, Kuantan, Pahang",Open
Selangor,IOI City Mall,"LG-K5H, Lower Ground, IOI City Mall, Lebuh IRC, IOI Resort City, 62502, Putrajaya, Selangor",Open
Selangor,IOI City Mall Outpozt,"G-236 & 237, Ground Floor, IOI City Mall, Lebuh IRC, IOI Resort City, 62502, Putrajaya, Selangor",Open
Selangor,IOI Mall Puchong,"EFK 03, IOI MALL Puchong, Batu 9, Jalan Puchong, Bandar Puchong Jaya, 47170, Puchong, Selangor",Open
Selangor,Jaya One,"100-P1.017, Jaya One, No. 72A, Jalan Prof Diraja Ungku Aziz, 46200, Petaling Jaya, Selangor",Open
Kedah,Jitra,"Lot No 174A, Pekan Jitra 2, Jalan PJ 8, 06000, Jitra, Kedah",Open
Selangor,Kajang,"No 37G, Jalan Tun Abdul Aziz, 43000, Kajang, Selangor",Open
W.P. Kuala Lumpur,KL Gateway,"1-02, 2, Jalan Kerinchi, Pantai Dalam, 59200, Kuala Lumpur, WP Kuala Lumpur",Open
W.P. Kuala Lumpur,KLCC Diner,"C-23 & C-24, KLCC Lot 91, 50450, Kuala Lumpur, Selangor",Open
Selangor,KLIA 2,"L3-22A, Terminal 2, Level, 2, KLIA2 Arrival Lane, 64000, Sepang, Selangor",Open
Johor,Kluang Mall,"G-41, Ground Floor, Jln Rambutan, Taman Suria, 86000, Kluang, Johor",Open
Kelantan,Kota Bahru Mall,"GK-05A Kota Bharu Mall PT101 &102, Jalan Hamzah, Seksyen 16, 15050, Kota Bharu, Kelantan",Open
Johor,Kota Masai,"23A, Jln Ekoperniagaan 8, Taman Kota Masai, 81700, Pasir Gudang, Johor",Open
Selangor,Kota Warisan KIP MALL,"P12, KIPMall, Kota Warisan, 43900, Sepang, Selangor",Open
Selangor,KPMG Tower,"Lot C.02A, KPMG Tower, 8 First Avenue, Bandar Utama, 47800, Petaling Jaya, WP Kuala Lumpur",Open
Melaka,Krubong Melaka Shoplot,"No 71, Jalan Satu Krubong, Taman Satu Krubong, 75260, Krubong, Melaka",Open
Terengganu,KTCC Mall,"GK48 & GK49, Ground Floor, KTCC Mall, Lot PT4191, Muara Selatan, 20000, Kuala Terengganu, Terengganu",Open
Kedah,Kulim Central,"Lot GK-16, Kulim Central Shopping Centre, Jalan KLC 1, 09000, Kulim, Kedah",Open
Johor,Larkin Sentral Shop,"No 13, Jalan Geroda 2/1, Larkin, 80350, Johor Bahru, Johor",Open
Pulau Pinang,Lotus's Bagan Ajam,"PMT 7528, Jalan Bagan Ajam, 13000 Butterworth, Pulau Pinang Jalan KLC 1, 13000, Butterworth, Pulau Pinang",Open
Pulau Pinang,Lotus's Bertam Perdana,"G&G2, Lotus's Bertam Perdana, PMT 2258 Persiaran Dagangan 1, Pusat Bandar Bertam Perdana, 13200, Kepala Batas, Pulau Pinang",Open
Pahang,Lotus's Indera Mahkota,"G02B, Lotus's Indera Mahkota, Jalan IM8/3, Bandar Indera Mahkota, 25200, Kuantan, Pahang",Open
Perak,Lotus's Ipoh Garden,"G-OL8, No. 2, Jln Jambu, Taman Ipoh Timur, 31400, Ipoh, Perak",Open
Melaka,Lotus's Melaka,"No. 1, Jalan Tun Razak, 75400, Peringgit, Melaka",Opening Soon
Melaka,Lotus's Melaka Cheng,"No 1, Jalan Inang 3, 75460, Taman Paya Rumput Utama, Melaka",Opening Soon
Kedah,Lotus's Mergong,"G26, Lotus's Mergong, No. 1, Lebuhraya Sultanah Bahiyah, 05150, Alor Setar, Kedah",Open
Pulau Pinang,Lotus's Seberang Jaya,"OL1, Lotus's Seberang Jaya, No. 2762, Persiaran Sembilang, Seberang Jaya 13700, Seberang Prai Tengah, Pulau Pinang",Open
Perak,Lotus's Seri Iskandar,"OL1 & OL2, Lotus's Seri Iskandar, No. 1, Jalan Susur Utama, 32610, Seri Iskandar, Perak",Open
Perak,Lotus's Seri Manjung,"FOL14, Lotus's Manjung, No. 103, Jalan Lumut, 32000, Lumut, Perak",Open
Perak,Lotus's Teluk Intan,"Rapid Mall Seri Intan, G.12, Lotus's, Jalan Changkat Jong, 36000, Teluk Intan, Perak",Open
Melaka,Mahkota Parade,"KG5C, Mahkota Parade, 75000, Jln Merdeka, Melaka",Open
W.P. Kuala Lumpur,Menara Dayabumi,"Lot F1-07, Level 1, Menara Dayabumi, Kompleks Dayabumi, Jalan Sultan Hishammuddin, 50050, Kuala Lumpur, WP Kuala Lumpur",Open
Selangor,Menara IPO,"Lobby, Menara MyIPO, PJ Sentral, Lot 12, Persiaran Barat, Seksyen 52, 46200, Petaling Jaya, Selangor",Open
Negeri Sembilan,Mesamall Nilai,"Lot GK-06 & GK-11, Ground Floor, Persiaran Ilmu, Bandar Baru Nilai, 71800, Nilai, Negeri Sembilan",Open
W.P. Kuala Lumpur,Midvalley KL,"LOT F-049&050, 1st floor Mid Valley Megamall, 59200, Mid Valley City, WP Kuala Lumpur",Open
Johor,Midvalley Southkey JB,"Persiaran Southkey 1, Southkey, 80150, Johor Bahru, Johor",Open
W.P. Kuala Lumpur,MRT Ampang Park,"Ampang Park MRT Station (PY 20), 50450, Kuala Lumpur, WP Kuala Lumpur",Open
W.P. Putrajaya,MRT Putrajaya Sentral,"Putrajaya Sentral MRT Station (PY41), Jalan P7 A, Presint 7, 62250, Putrajaya, Selangor",Open
W.P. Kuala Lumpur,MRT Semantan,"K014-2, Stesen Semantan Jalan Semantan 50490, Kuala Lumpur, WP Kuala Lumpur",Open
W.P. Kuala Lumpur,MRT TRX,"Tun Razak Exchange MRT station (KG20,PY23), Jalan Tun Razak, 55100, Mukim Bandar, WP Kuala Lumpur",Open
Johor,Muar,"No.29-21 (Bwh), Jalan Pesta 1/2, Taman Kampung Kenangan Tun Dr. Ismail, 84000, Muar, Johor",Open
Perak,Mydin Meru,"Mydin Mall, Meru Raya, Pt Lot FP-03, Bandar Meru Raya, Jelapang, 30020, Ipoh, Perak",Open
Melaka,Mydin MITC,"Lot-26-29, Mydin Mall MITC, No. 12, Hang Tuah Jaya, 75450, Ayer Keroh, Melaka",Open
W.P. Kuala Lumpur,MyTown Shopping Center,"B1-039 , MyTOWN Shopping Centre, 90, Jalan Cochrane, 55100 , Kuala Lumpur, WP Kuala Lumpur",Open
W.P. Kuala Lumpur,Nu Sentral,"201, Jalan Tun Sambanthan, 50470, Brickfields, WP Kuala Lumpur",Open
Negeri Sembilan,Palm Mall,"No 36. Ground Floor, Palm Mall, Jalan Sungai Ujong, Kemayan Square, 70200, Seremban, Negeri Sembilan",Open
Johor,Paradigm Mall JB,"Lot GF-39, Ground Floor, Paradigm Mall Johor Bahru, 81200, Skudai, Johor",Open
Selangor,Paradigm Mall KL,"LGK-11 (P), Lower Ground Floor, Paradigm Mall, No 1 Jalan SS7/26a, Kelana Jaya, 47301, Petaling Jaya, Selangor",Open
Johor,Pasir Gudang,"No.18, Jalan Sejambak 14, Taman Bukit Dahlia, 81700, Pasir Gudang, Johor",Open
W.P. Kuala Lumpur,Pavilion Bukit Jalil,"Lot No P3. 12.00 Level 3, Pavilion Bukit Jalil, No.2, Persiaran Jalil 8, Bandar Bukit Jalil, 57000, Kuala Lumpur, WP Kuala Lumpur",Open
W.P. Kuala Lumpur,Pavilion Damansara Heights,"Lot P1.08.00 & EP1.08.00, Pavilion Damansara Height, Lot 480023, Jalan Beringin, Bukit Damansara, 50490, Kuala Lumpur, WP Kuala Lumpur",Open
W.P. Kuala Lumpur,Pavilion KL,"Lot 1.07.00, Level 1, Pavilion Mall KL, 168, Jln Bukit Bintang, 55100, Bukit Bintang, WP Kuala Lumpur",Open
Pulau Pinang,Pearl City Mall ( Simpang Ampat ),"GK1, Pearl City Mall, No. 1720, Persiaran Mutiara 4, Pusat Komersial Bandar Tasek Mutiara, 14200, Kepala Batas, Pulau Pinang",Open
Pahang,"Pekan, Pahang","Lot 21, Kg. Peramu Batu 1, Kampung Batu Satu Peramu, 26600, Pekan, Pahang",Open
Johor,Plaza Pelangi,"Lot No. K1.3, Level 1, Plaza Pelangi, No.2, Jalan Kuning, Taman Pelangi, 80400, Johor Bahru, Johor",Open
Selangor,Plaza Shah Alam,"Lot F20, First Floor, Plaza Shah Alam. No 2, Jalan Tengku Ampuan Zabedah E9/E, Section 9, 40100, Shah Alam, Selangor",Open
Johor,Pontian Johor Shoplot,"No.48 (Ground Floor), Jalan Emas 2, Pusat Perniagaan Kota Emas, 82000, Pontian, Johor",Open
W.P. Kuala Lumpur,Publika,"B1, Level UG, Publika Shopping Gallery, 1, Jln Dutamas 1, 50480, Solaris Dutamas, WP Kuala Lumpur",Open
Pulau Pinang,Queensbay Mall,"LG-41, Queensbay Mall, 100, Persiaran Bayan Indah, 11900, Bayan Lepas, Pulau Pinang",Open
Selangor,SB Mall,"Level LG, SB Mall, No.2 Bandar Baru Sungai Buloh, Seksyen U20, 40160, Shah Alam, Selangor",Open
Selangor,Selayang Mall,"GSW.5B, Ground Floor, Selayang Mall, Jalan SU 9, 68100, Taman Selayang Utama, Selangor",Open
Negeri Sembilan,Senawang,"33A, Jalan BPS 3, Bandar Prima Senawang, 70450, Seremban, Negeri Sembilan",Open
W.P. Kuala Lumpur,Setapak Central Mall,"GK-4C, Ground Floor, Setapak Central, No. 67 Jalan Taman Ibu Kota, Taman Danau Kota, 53300, Setapak, WP Kuala Lumpur",Open
Selangor,Setia Ecohill,"Lot L1-07, EcoHill Mall, Jalan EcoHill 1/2, Setia Ecohill, 43500, Semenyih, Selangor",Open
Selangor,Shah Alam Seksyen 13,"49, Jalan Snuker 13/28, Tadisma Business Park, 40100, Shah Alam, Selangor",Open
W.P. Kuala Lumpur,Sogo KL,"L6-K5, 6th Floor, Kompleks SOGO, 190, Jalan Tuanku Abdul Rahman, 50100, Kuala Lumpur, WP Kuala Lumpur",Open
Selangor,SS15,"No.29, G Floor, Jalan SS15/4B, 47500, Subang Jaya, Selangor",Open
Johor,St Giles Southkey Hotel,"Mid Valley Southkey, 1, Persiaran Southkey 1, Kota Southkey, 80150, Johor Bahru, Johor",Open
Selangor,Star Grocer BTP,"L-06, Star Market Rawang Tasik Puteri, Bandar Tasik Puteri, 48020, Rawang, Selangor",Open
W.P. Kuala Lumpur,Sungai Mas,"G-02, Ground Floor, Plaza Sungai Mas, 5, Jalan Ipoh, Taman Kok Lian, 51200, Kuala Lumpur, WP Kuala Lumpur",Open
Pulau Pinang,Sunway Carnival,"2F-K05, Sunway Carnival Mall, 3068, Jalan Todak, Pusat Bandar Seberang Jaya, 13700, Seberang Jaya, Pulau Pinang",Open
W.P. Kuala Lumpur,Sunway Putra,"1.33 First Floor, Sunway Putra Mall, No. 100, Jalan Putra, 50350, Kuala Lumpur, WP Kuala Lumpur",Open
Selangor,Sunway Pyramid,"LG2.08A, 3, Jalan PJS 11/15, Bandar Sunway, 47500, Petaling Jaya, Selangor",Open
W.P. Kuala Lumpur,Sunway Velocity,"1-71, First Floor, Sunway Velocity Mall, Lingkaran SV, Sunway Velocity, 55100, Kuala Lumpur, WP Kuala Lumpur",Open
Sabah,Suria Sabah,"1, Jln Tun Fuad Stephens, Pusat Bandar Kota Kinabalu, 88000, Kota Kinabalu, Sabah",Open
Pahang,Taman Tas,"B28, Jln Pandan Damai 3, Taman Pandan Damai, 25150, Kuantan, Pahang",Open
Selangor,The Mines,"L3-77 (2) Level 3, The Mines, Jalan Dulang, Mines Resort City, 43300, Seri Kembangan, Selangor",Open
Selangor,"The One Academy, Sunway Mentari","Main Lobby, Block B4, Leisure Commerce Square, No. 9, Jln PJS 8/9, 46150, Petaling Jaya, Selangor",Open
Sarawak,The Spring Shopping Mall,"Lot G47A, Persiaran Spring, 93300, Kuching, Sarawak",Open
Selangor,Top Glove Tower,"No.16, Persiaran Setia Dagang, Setia Alam, Seksyen U13, 40170, Shah Alam, Selangor",Open
Johor,Toppen Shopping Centre,"L1.50, Toppen Shopping Centre, No. 33A, Jln Harmonium, Taman Desa Tebrau, 81100, Johor Bahru, Johor",Open
Selangor,TSB Sungai Buloh,"No 85, Seksyen U20, 1, Jalan Nautika A U20/A, Pusat Komersial Tsb, 40160, Sungai Buloh, Selangor",Open
W.P. Kuala Lumpur,TTDI,"No 18, Persiaran Zaaba, Taman Tun Dr Ismail, 60000, Kuala Lumpur, WP Kuala Lumpur",Open
Johor,U Sentral Segamat,"S055A, U Sentral Segamat, Lot Management Office, Jalan Utama 3/2, Taman Utama, 85000, Segamat, Johor",Open
Selangor,UPM Serdang,"Ruang Kafeteria, Universiti Putra Malaysia, Jalan Universiti 1, 43400, Serdang, Selangor",Open
Sarawak,Vivacity Mega Mall,"Lot G-074As & G-074Bs Ground Floor, Vivacity Mega Mall, Jalan Wan Alwi, 93350, Kuching, Sarawak",Open
W.P. Kuala Lumpur,Wangsa Walk,"Lot G-17J Wangsa Walk Mall, Wangsa Avenue, No.9, Jalan Wangsa Perdana 1, 53300, Bandar Wangsa Maju, WP Kuala Lumpur",Open
